group,kind,submission_id,roc_auc,roc_auc_pval,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_pval,average_precision_ci_low,average_precision_ci_high,best_sensitivity,best_sensitivity_ci_low,best_sensitivity_ci_high,best_specificity,best_specificity_ci_low,best_specificity_ci_high,volume_corr,volume_corr_pval,concordance_index,concordance_index_pval,concordance_index_ci_low,concordance_index_ci_high,integrated_brier_score,integrated_brier_score_pval,integrated_brier_score_ci_low,integrated_brier_score_ci_high
baseline,baseline,clinical,0.7393346438378775,9.999000099990002e-05,0.6858913806815625,0.7922635839798322,0.36601990634584497,9.999000099990002e-05,0.2953508433265574,0.4625469923049733,0.6407766990291263,0.5436893203883495,0.7281553398058253,0.7032457496136012,0.6676970633693973,0.7387944358578054,0.49193239718284026,5.860917172214425e-47,0.6958269578522743,9.999000099990002e-05,0.6440425273908311,0.7456244267899281,0.048510068437865476,1.0,0.045546293998699486,0.05130430574403266
challenge,combined,5e515f3,0.823306973184676,9.999000099990002e-05,0.776577857475128,0.8660434267192869,0.5046257408037778,9.999000099990002e-05,0.41962958634252906,0.6017933994315848,0.2815533980582524,0.1941747572815534,0.36893203883495146,0.973724884080371,0.9598145285935085,0.9845440494590417,0.35446965061271213,1.2643509769587239e-23,0.8009737098344694,9.999000099990002e-05,0.7574018529729981,0.8417093130980937,0.040392177242993835,1.0,0.03715328266448453,0.04366832336151244
challenge,combined,c927742,0.8156240152458697,9.999000099990002e-05,0.7674543449227952,0.8597575066400563,0.5017205381121156,9.999000099990002e-05,0.41759305204222835,0.5978156805293963,0.6796116504854369,0.5825242718446602,0.7669902912621359,0.7990726429675425,0.768160741885626,0.8299845440494591,0.43664838515268467,2.9034887139813726e-36,0.7459034636249826,9.999000099990002e-05,0.6996561507480328,0.7878762674476231,0.049507056203048086,1.0,0.04682958711661979,0.05208056973954747
challenge,combined,a4c8caa,0.779520115244369,9.999000099990002e-05,0.7327617382692335,0.824493555018682,0.35271944509123576,9.999000099990002e-05,0.2900087392823989,0.44049239355267117,0.8252427184466019,0.7475728155339806,0.8932038834951457,0.598145285935085,0.5595054095826894,0.6367851622874807,0.48652159737172856,8.002537344345261e-46,0.781207400194742,9.999000099990002e-05,0.7395069668042393,0.8189945720508981,0.08737133600860657,1.0,0.08182114103921513,0.0929720924393214
challenge,combined,fcb1e61,0.7833315826593239,9.999000099990002e-05,0.7299841689050284,0.8336767155354811,0.4378560659549207,9.999000099990002e-05,0.3596670975352349,0.5400412124377141,0.8932038834951457,0.8252427184466019,0.9514563106796117,0.3755795981452859,0.3384853168469861,0.4126738794435858,0.4338052156537166,9.154566395381205e-36,0.7730699680066768,9.999000099990002e-05,0.7241929315813275,0.8197903295300455,,9.999000099990002e-05,,
challenge,combined,e943420,0.7856574781290797,9.999000099990002e-05,0.7338421542293783,0.8368875767170361,0.4199793416817203,9.999000099990002e-05,0.34746806631797617,0.5254892753313166,0.7281553398058253,0.6407766990291263,0.8155339805825242,0.6970633693972179,0.6615146831530139,0.732612055641422,0.415097840173938,1.340356616033538e-32,0.7738211155932675,9.999000099990002e-05,0.7252499564217212,0.8192335316548329,,,,
challenge,radiomics,ef556b4,0.7349454539997898,9.999000099990002e-05,0.6769171756126109,0.791617022553683,0.3567473170251372,9.999000099990002e-05,0.2889539257189579,0.4547829289930972,0.9223300970873787,0.8640776699029126,0.970873786407767,0.18856259659969088,0.15919629057187018,0.21947449768160743,0.6157546421647302,1.7804301792659055e-79,0.7216650438169425,9.999000099990002e-05,0.6666194532719153,0.7738271050187812,,9.999000099990002e-05,,
baseline,baseline,radiomics,0.7121891928392431,9.999000099990002e-05,0.6546116504854369,0.7687909845290437,0.331072168192711,9.999000099990002e-05,0.2641389401756494,0.4195451448002346,0.6699029126213593,0.5728155339805825,0.7572815533980582,0.6955177743431221,0.659969088098918,0.7310664605873262,0.8529477350181955,2.2333310391587316e-213,0.7293225761580192,9.999000099990002e-05,0.6753155233616547,0.7813443381067462,0.04852051550169808,1.0,0.0456051914640843,0.051287863388823164
challenge,EMR,8e48339,0.7785672483906303,9.999000099990002e-05,0.7205759217298661,0.8321311204813853,0.4152177928748818,9.999000099990002e-05,0.34294640135651083,0.5191705475521264,1.0,1.0,1.0,0.0,0.0,0.0,0.4501171131054191,1.0841167280091005e-38,0.7675545973014327,9.999000099990002e-05,0.7138901617520202,0.8169190148445087,,9.999000099990002e-05,,
challenge,radiomics,60f36db,0.7662249966237,9.999000099990002e-05,0.7177248240572621,0.810852178088564,0.31063235817721024,9.999000099990002e-05,0.25984862632551464,0.39056340761862945,0.6116504854368932,0.5145631067961165,0.6990291262135923,0.7897990726429676,0.7573415765069552,0.8207109737248841,0.2224738817313453,7.279301422511117e-10,0.7476561413270274,9.999000099990002e-05,0.703173362542988,0.7896740793516717,0.060796231908335274,1.0,0.05574330462120954,0.06571722336250688
